MES,MAGNITUD,ANNO,PROVINCIA,MEDIA_VAL
6,10,2018,2,27.233333333333334
7,10,2018,2,37.67741935483871
8,10,2018,2,34.96153846153846
9,10,2018,2,34.53333333333333
10,10,2018,2,23.653846153846153
11,10,2018,2,18.066666666666666
12,10,2018,2,21.666666666666668
1,17,2018,2,
2,17,2018,2,0.3474333333333333
3,17,2018,2,0.3474
4,17,2018,2,0.3473
5,17,2018,2,0.3474
6,17,2018,2,0.34745
7,17,2018,2,
8,17,2018,2,
9,17,2018,2,0.35635
10,17,2018,2,
11,17,2018,2,0.34835
12,17,2018,2,0.3475
1,19,2018,2,
2,19,2018,2,0.0003
3,19,2018,2,0.0003
4,19,2018,2,0.0003
5,19,2018,2,0.0003
6,19,2018,2,0.0003
7,19,2018,2,
8,19,2018,2,
9,19,2018,2,0.00125
10,19,2018,2,
11,19,2018,2,0.0003
12,19,2018,2,0.0008666666666666666
1,27,2018,2,0.07089999999999999
2,27,2018,2,0.0674
3,27,2018,2,0.006625000000000001
4,27,2018,2,
5,27,2018,2,0.0015
6,27,2018,2,0.0023333333333333335
7,27,2018,2,
8,27,2018,2,
9,27,2018,2,0.00205
10,27,2018,2,
11,27,2018,2,0.023799999999999998
12,27,2018,2,0.25343333333333334
1,28,2018,2,
2,28,2018,2,0.3474333333333333
3,28,2018,2,0.3474
4,28,2018,2,0.3473
5,28,2018,2,0.3474
6,28,2018,2,0.34745
7,28,2018,2,
8,28,2018,2,
9,28,2018,2,0.35635
10,28,2018,2,
11,28,2018,2,0.34835
12,28,2018,2,0.3475
1,62,2018,2,
2,62,2018,2,0.3474333333333333
3,62,2018,2,0.3474
4,62,2018,2,0.3473
5,62,2018,2,0.3474
6,62,2018,2,0.34745
7,62,2018,2,
8,62,2018,2,
9,62,2018,2,0.35635
10,62,2018,2,
11,62,2018,2,0.34835
12,62,2018,2,1.2822500000000001
1,17,2019,2,
2,17,2019,2,0.4176785714285714
3,17,2019,2,0.4456652173913044
4,17,2019,2,1.9292833333333335
5,17,2019,2,0.41760909090909093
6,17,2019,2,0.4177368421052632
7,17,2019,2,0.4523045454545454
8,17,2019,2,0.43433076923076924
9,17,2019,2,0.417352
10,17,2019,2,0.4206913043478261
11,17,2019,2,0.41713600000000006
12,17,2019,2,0.41712727272727274
1,19,2019,2,
2,19,2019,2,0.00481
3,19,2019,2,0.0012647826086956521
4,19,2019,2,0.0016929166666666666
5,19,2019,2,0.0008381818181818181
6,19,2019,2,0.0010552631578947369
7,19,2019,2,0.0024754545454545454
8,19,2019,2,0.0007161538461538462
9,19,2019,2,0.0008267999999999999
10,19,2019,2,0.0020895652173913044
11,19,2019,2,0.0011932
12,19,2019,2,0.00069
1,27,2019,2,
2,27,2019,2,0.4889
3,27,2019,2,0.04201739130434783
4,27,2019,2,0.017333333333333336
5,27,2019,2,0.0083
6,27,2019,2,0.007110526315789473
7,27,2019,2,0.007976
8,27,2019,2,0.002046153846153846
9,27,2019,2,0.005247999999999999
10,27,2019,2,0.03248260869565218
11,27,2019,2,0.033152
12,27,2019,2,0.078
1,28,2019,2,
2,28,2019,2,0.062164285714285714
3,28,2019,2,0.04812608695652173
4,28,2019,2,0.04690416666666666
5,28,2019,2,0.026909090909090907
6,28,2019,2,0.02493157894736842
7,28,2019,2,0.03676818181818182
8,28,2019,2,0.02180769230769231
9,28,2019,2,0.02451200000000001
10,28,2019,2,0.07765217391304347
11,28,2019,2,0.104004
12,28,2019,2,0.03602727272727273
1,62,2019,2,
2,62,2019,2,1.0845357142857144
3,62,2019,2,0.6198782608695652
4,62,2019,2,0.5806958333333333
5,62,2019,2,0.8215181818181818
6,62,2019,2,1.0426789473684208
7,62,2019,2,1.8233181818181818
8,62,2019,2,1.0032538461538463
9,62,2019,2,0.9358720000000001
10,62,2019,2,0.9141086956521739
11,62,2019,2,0.4172
12,62,2019,2,0.34762727272727273
1,9,2017,3,11.028827444956477
2,9,2017,3,12.001900452488687
3,9,2017,3,10.547293700088732
4,9,2017,3,10.16971554138897
5,9,2017,3,8.357953575695511
6,9,2017,3,9.753129251700681
7,9,2017,3,11.0399094231686
