MES,MAGNITUD,ANNO,PROVINCIA,MEDIA_VAL,CERO,B,C,ECO,Sin_distintivo,Se_desconoce,VEHICULO
8.0,9.0,2018.0,1.0,8.611827956989247,4.0,15.0,531.0,40.0,5.0,55.0,1.0
8.0,9.0,2018.0,1.0,8.611827956989247,0.0,0.0,40.0,0.0,0.0,1.0,2.0
8.0,10.0,2018.0,1.0,17.276234364713627,4.0,15.0,531.0,40.0,5.0,55.0,1.0
8.0,10.0,2018.0,1.0,17.276234364713627,0.0,0.0,40.0,0.0,0.0,1.0,2.0
8.0,17.0,2018.0,1.0,0.24647181400000004,4.0,15.0,531.0,40.0,5.0,55.0,1.0
8.0,17.0,2018.0,1.0,0.24647181400000004,0.0,0.0,40.0,0.0,0.0,1.0,2.0
8.0,19.0,2018.0,1.0,0.010000000000000004,4.0,15.0,531.0,40.0,5.0,55.0,1.0
8.0,19.0,2018.0,1.0,0.010000000000000004,0.0,0.0,40.0,0.0,0.0,1.0,2.0
8.0,27.0,2018.0,1.0,0.058874613142857135,4.0,15.0,531.0,40.0,5.0,55.0,1.0
8.0,27.0,2018.0,1.0,0.058874613142857135,0.0,0.0,40.0,0.0,0.0,1.0,2.0
8.0,28.0,2018.0,1.0,0.20000000000000004,4.0,15.0,531.0,40.0,5.0,55.0,1.0
8.0,28.0,2018.0,1.0,0.20000000000000004,0.0,0.0,40.0,0.0,0.0,1.0,2.0
8.0,62.0,2018.0,1.0,2.0,4.0,15.0,531.0,40.0,5.0,55.0,1.0
8.0,62.0,2018.0,1.0,2.0,0.0,0.0,40.0,0.0,0.0,1.0,2.0
9.0,9.0,2018.0,1.0,9.836904761904762,3.0,11.0,393.0,29.0,4.0,40.0,1.0
9.0,9.0,2018.0,1.0,9.836904761904762,0.0,0.0,30.0,0.0,0.0,1.0,2.0
9.0,10.0,2018.0,1.0,17.01331327402756,3.0,11.0,393.0,29.0,4.0,40.0,1.0
9.0,10.0,2018.0,1.0,17.01331327402756,0.0,0.0,30.0,0.0,0.0,1.0,2.0
9.0,17.0,2018.0,1.0,0.42471146547619043,3.0,11.0,393.0,29.0,4.0,40.0,1.0
9.0,17.0,2018.0,1.0,0.42471146547619043,0.0,0.0,30.0,0.0,0.0,1.0,2.0
9.0,19.0,2018.0,1.0,0.013525909285714288,3.0,11.0,393.0,29.0,4.0,40.0,1.0
9.0,19.0,2018.0,1.0,0.013525909285714288,0.0,0.0,30.0,0.0,0.0,1.0,2.0
9.0,27.0,2018.0,1.0,0.05,3.0,11.0,393.0,29.0,4.0,40.0,1.0
9.0,27.0,2018.0,1.0,0.05,0.0,0.0,30.0,0.0,0.0,1.0,2.0
9.0,28.0,2018.0,1.0,0.2117535243333334,3.0,11.0,393.0,29.0,4.0,40.0,1.0
9.0,28.0,2018.0,1.0,0.2117535243333334,0.0,0.0,30.0,0.0,0.0,1.0,2.0
9.0,62.0,2018.0,1.0,2.1292349722857145,3.0,11.0,393.0,29.0,4.0,40.0,1.0
9.0,62.0,2018.0,1.0,2.1292349722857145,0.0,0.0,30.0,0.0,0.0,1.0,2.0
10.0,9.0,2018.0,1.0,7.780541770057899,3.0,14.0,487.0,36.0,4.0,50.0,1.0
10.0,9.0,2018.0,1.0,7.780541770057899,0.0,0.0,37.0,0.0,0.0,1.0,2.0
10.0,10.0,2018.0,1.0,14.334348255431205,3.0,14.0,487.0,36.0,4.0,50.0,1.0
10.0,10.0,2018.0,1.0,14.334348255431205,0.0,0.0,37.0,0.0,0.0,1.0,2.0
10.0,17.0,2018.0,1.0,0.42347417480645144,3.0,14.0,487.0,36.0,4.0,50.0,1.0
10.0,17.0,2018.0,1.0,0.42347417480645144,0.0,0.0,37.0,0.0,0.0,1.0,2.0
10.0,19.0,2018.0,1.0,0.015973958032258068,3.0,14.0,487.0,36.0,4.0,50.0,1.0
10.0,19.0,2018.0,1.0,0.015973958032258068,0.0,0.0,37.0,0.0,0.0,1.0,2.0
10.0,27.0,2018.0,1.0,0.06615005612500001,3.0,14.0,487.0,36.0,4.0,50.0,1.0
10.0,27.0,2018.0,1.0,0.06615005612500001,0.0,0.0,37.0,0.0,0.0,1.0,2.0
10.0,28.0,2018.0,1.0,0.20000000000000007,3.0,14.0,487.0,36.0,4.0,50.0,1.0
10.0,28.0,2018.0,1.0,0.20000000000000007,0.0,0.0,37.0,0.0,0.0,1.0,2.0
10.0,62.0,2018.0,1.0,2.0,3.0,14.0,487.0,36.0,4.0,50.0,1.0
10.0,62.0,2018.0,1.0,2.0,0.0,0.0,37.0,0.0,0.0,1.0,2.0
11.0,9.0,2018.0,1.0,5.971111111111111,3.0,14.0,477.0,36.0,4.0,49.0,1.0
11.0,9.0,2018.0,1.0,5.971111111111111,0.0,0.0,36.0,0.0,0.0,1.0,2.0
11.0,10.0,2018.0,1.0,10.104322344322345,3.0,14.0,477.0,36.0,4.0,49.0,1.0
11.0,10.0,2018.0,1.0,10.104322344322345,0.0,0.0,36.0,0.0,0.0,1.0,2.0
11.0,17.0,2018.0,1.0,0.28234488043333333,3.0,14.0,477.0,36.0,4.0,49.0,1.0
11.0,17.0,2018.0,1.0,0.28234488043333333,0.0,0.0,36.0,0.0,0.0,1.0,2.0
11.0,19.0,2018.0,1.0,0.010728367366666667,3.0,14.0,477.0,36.0,4.0,49.0,1.0
11.0,19.0,2018.0,1.0,0.010728367366666667,0.0,0.0,36.0,0.0,0.0,1.0,2.0
11.0,27.0,2018.0,1.0,0.11414586442857143,3.0,14.0,477.0,36.0,4.0,49.0,1.0
11.0,27.0,2018.0,1.0,0.11414586442857143,0.0,0.0,36.0,0.0,0.0,1.0,2.0
11.0,28.0,2018.0,1.0,0.20000000000000007,3.0,14.0,477.0,36.0,4.0,49.0,1.0
11.0,28.0,2018.0,1.0,0.20000000000000007,0.0,0.0,36.0,0.0,0.0,1.0,2.0
11.0,62.0,2018.0,1.0,2.0,3.0,14.0,477.0,36.0,4.0,49.0,1.0
11.0,62.0,2018.0,1.0,2.0,0.0,0.0,36.0,0.0,0.0,1.0,2.0
12.0,9.0,2018.0,1.0,7.110144605116798,4.0,14.0,497.0,37.0,4.0,51.0,1.0
12.0,9.0,2018.0,1.0,7.110144605116798,0.0,0.0,37.0,0.0,0.0,1.0,2.0
12.0,10.0,2018.0,1.0,12.58603857313535,4.0,14.0,497.0,37.0,4.0,51.0,1.0
12.0,10.0,2018.0,1.0,12.58603857313535,0.0,0.0,37.0,0.0,0.0,1.0,2.0
12.0,17.0,2018.0,1.0,0.33430775464516116,4.0,14.0,497.0,37.0,4.0,51.0,1.0
12.0,17.0,2018.0,1.0,0.33430775464516116,0.0,0.0,37.0,0.0,0.0,1.0,2.0
12.0,19.0,2018.0,1.0,0.012171501612903226,4.0,14.0,497.0,37.0,4.0,51.0,1.0
12.0,19.0,2018.0,1.0,0.012171501612903226,0.0,0.0,37.0,0.0,0.0,1.0,2.0
12.0,27.0,2018.0,1.0,0.2465255385714286,4.0,14.0,497.0,37.0,4.0,51.0,1.0
12.0,27.0,2018.0,1.0,0.2465255385714286,0.0,0.0,37.0,0.0,0.0,1.0,2.0
12.0,28.0,2018.0,1.0,0.20000000000000007,4.0,14.0,497.0,37.0,4.0,51.0,1.0
12.0,28.0,2018.0,1.0,0.20000000000000007,0.0,0.0,37.0,0.0,0.0,1.0,2.0
12.0,62.0,2018.0,1.0,2.090230072935484,4.0,14.0,497.0,37.0,4.0,51.0,1.0
12.0,62.0,2018.0,1.0,2.090230072935484,0.0,0.0,37.0,0.0,0.0,1.0,2.0
1.0,17.0,2019.0,1.0,0.3451612903225805,3.0,9.0,474.0,47.0,4.0,38.0,1.0
1.0,17.0,2019.0,1.0,0.3451612903225805,0.0,0.0,38.0,0.0,0.0,1.0,2.0
1.0,17.0,2019.0,1.0,0.3451612903225805,0.0,0.0,38.0,0.0,0.0,1.0,2.0
1.0,19.0,2019.0,1.0,0.011935483870967744,3.0,9.0,474.0,47.0,4.0,38.0,1.0
1.0,19.0,2019.0,1.0,0.011935483870967744,0.0,0.0,38.0,0.0,0.0,1.0,2.0
