ANNO,MES,PROVINCIAS,CERO,ECO,B,C
2018,8,Cuenca,0,4,7,108
2019,8,Cuenca,0,5,5,86
2018,9,Cuenca,0,3,5,80
2019,9,Cuenca,0,5,5,94
2017,1,Cáceres,1,16,15,221
2018,1,Cáceres,0,24,19,272
2019,1,Cáceres,1,32,14,291
2017,10,Cáceres,1,20,18,264
2018,10,Cáceres,0,23,18,260
2019,10,Cáceres,1,34,15,311
2017,11,Cáceres,1,21,19,282
2018,11,Cáceres,0,22,17,254
2019,11,Cáceres,1,32,14,296
2017,12,Cáceres,1,20,18,264
2018,12,Cáceres,0,23,18,265
2019,12,Cáceres,1,34,15,311
2017,2,Cáceres,1,19,17,248
2018,2,Cáceres,0,25,20,288
2019,2,Cáceres,1,33,15,304
2017,3,Cáceres,1,24,22,323
2018,3,Cáceres,1,29,23,331
2019,3,Cáceres,1,40,18,371
2017,4,Cáceres,1,20,18,265
2018,4,Cáceres,1,27,21,311
2019,4,Cáceres,1,40,17,362
2017,5,Cáceres,1,25,22,331
2018,5,Cáceres,1,32,25,360
2019,5,Cáceres,1,42,19,387
2017,6,Cáceres,1,26,23,344
2018,6,Cáceres,1,33,26,374
2019,6,Cáceres,1,43,19,394
2017,7,Cáceres,1,22,20,298
2018,7,Cáceres,1,31,24,348
2019,7,Cáceres,1,40,18,368
2017,8,Cáceres,0,15,14,204
2018,8,Cáceres,0,25,19,283
2019,8,Cáceres,1,26,12,243
2017,9,Cáceres,1,17,16,234
2018,9,Cáceres,0,18,14,210
2019,9,Cáceres,1,29,13,264
2017,1,Cádiz,2,84,50,1252
2018,1,Cádiz,13,126,89,1818
2019,1,Cádiz,13,138,64,2231
2017,10,Cádiz,2,100,60,1498
2018,10,Cádiz,12,120,85,1738
2019,10,Cádiz,13,147,68,2388
2017,11,Cádiz,3,107,65,1604
2018,11,Cádiz,12,118,83,1702
2019,11,Cádiz,13,140,65,2269
2017,12,Cádiz,2,100,61,1501
2018,12,Cádiz,12,122,87,1773
2019,12,Cádiz,13,147,68,2388
2017,2,Cádiz,2,94,57,1410
2018,2,Cádiz,13,133,94,1928
2019,2,Cádiz,13,144,66,2332
2017,3,Cádiz,3,123,74,1834
2018,3,Cádiz,16,153,108,2216
2019,3,Cádiz,16,175,81,2844
2017,4,Cádiz,2,101,61,1505
2018,4,Cádiz,15,144,102,2085
2019,4,Cádiz,16,171,79,2783
2017,5,Cádiz,3,126,76,1879
2018,5,Cádiz,17,166,118,2407
2019,5,Cádiz,16,183,85,2973
2017,6,Cádiz,3,131,79,1953
2018,6,Cádiz,17,173,122,2500
2019,6,Cádiz,16,186,86,3027
2017,7,Cádiz,3,113,68,1689
2018,7,Cádiz,16,161,114,2335
2019,7,Cádiz,16,174,81,2831
2017,8,Cádiz,2,77,47,1155
2018,8,Cádiz,13,131,93,1895
2019,8,Cádiz,10,113,53,1861
2017,9,Cádiz,2,89,54,1328
2018,9,Cádiz,9,97,68,1405
2019,9,Cádiz,10,123,58,2023
2017,1,Córdoba,1,34,57,813
2018,1,Córdoba,3,57,92,1054
2019,1,Córdoba,4,63,70,1115
2017,10,Córdoba,2,41,68,972
2018,10,Córdoba,3,55,88,1008
2019,10,Córdoba,5,68,75,1193
2017,11,Córdoba,2,44,73,1041
2018,11,Córdoba,3,54,87,987
2019,11,Córdoba,4,64,71,1134
2017,12,Córdoba,2,41,69,975
2018,12,Córdoba,3,56,90,1028
2019,12,Córdoba,5,68,75,1193
2017,2,Córdoba,2,39,64,916
2018,2,Córdoba,4,61,98,1118
2019,2,Córdoba,5,66,73,1165
2017,3,Córdoba,2,50,84,1191
2018,3,Córdoba,4,70,113,1285
2019,3,Córdoba,6,80,89,1420
2017,4,Córdoba,2,41,69,977
2018,4,Córdoba,4,66,106,1209
2019,4,Córdoba,5,79,88,1390
2017,5,Córdoba,2,52,86,1220
2018,5,Córdoba,4,76,122,1396
2019,5,Córdoba,6,84,94,1484
2017,6,Córdoba,2,54,89,1268
2018,6,Córdoba,5,79,127,1450
2019,6,Córdoba,8,86,95,1512
2017,7,Córdoba,2,46,77,1097
2018,7,Córdoba,4,73,119,1355
2019,7,Córdoba,6,80,89,1415
2017,8,Córdoba,1,32,53,750
2018,8,Córdoba,4,60,96,1099
2019,8,Córdoba,4,53,59,929
2017,9,Córdoba,2,36,61,863
2018,9,Córdoba,3,44,71,815
2019,9,Córdoba,4,57,64,1010
2018,1,Guipúzcoa,3,52,28,1147
2019,1,Guipúzcoa,6,80,20,1267
