PUNTO_MUESTREO,MES,MAGNITUD,ANO,PROVINCIA,MEDIA_MAGS,LONGITUD,LATITUD
28079008,05,8,2019,28,43.03225806451613,-3.6823158,40.4215533
28079008,06,8,2019,28,40.58064516129032,-3.6823158,40.4215533
28079008,07,8,2019,28,36.38709677419355,-3.6823158,40.4215533
28079008,08,8,2019,28,24.612903225806452,-3.6823158,40.4215533
28079008,09,8,2019,28,43.774193548387096,-3.6823158,40.4215533
28079008,10,8,2019,28,55.0,-3.6823158,40.4215533
28079008,11,8,2019,28,40.67741935483871,-3.6823158,40.4215533
28079008,12,8,2019,28,49.87096774193548,-3.6823158,40.4215533
28079008,01,9,2019,28,13.806451612903226,-3.6823158,40.4215533
28079008,02,9,2019,28,11.935483870967742,-3.6823158,40.4215533
28079008,03,9,2019,28,15.193548387096774,-3.6823158,40.4215533
28079008,04,9,2019,28,7.32258064516129,-3.6823158,40.4215533
28079008,05,9,2019,28,6.548387096774194,-3.6823158,40.4215533
28079008,06,9,2019,28,8.741935483870968,-3.6823158,40.4215533
28079008,07,9,2019,28,11.741935483870968,-3.6823158,40.4215533
28079008,08,9,2019,28,9.290322580645162,-3.6823158,40.4215533
28079008,09,9,2019,28,7.806451612903226,-3.6823158,40.4215533
28079008,10,9,2019,28,10.225806451612904,-3.6823158,40.4215533
28079008,11,9,2019,28,5.67741935483871,-3.6823158,40.4215533
28079008,12,9,2019,28,10.290322580645162,-3.6823158,40.4215533
28079008,01,1,2020,28,7.387096774193548,-3.6823158,40.4215533
28079008,02,1,2020,28,6.774193548387097,-3.6823158,40.4215533
28079008,03,1,2020,28,7.32258064516129,-3.6823158,40.4215533
28079008,04,1,2020,28,7.064516129032258,-3.6823158,40.4215533
28079008,05,1,2020,28,7.967741935483871,-3.6823158,40.4215533
28079008,06,1,2020,28,8.193548387096774,-3.6823158,40.4215533
28079008,07,1,2020,28,10.419354838709678,-3.6823158,40.4215533
28079008,08,1,2020,28,9.483870967741936,-3.6823158,40.4215533
28079008,09,1,2020,28,9.0,-3.6823158,40.4215533
28079008,10,1,2020,28,3.193548387096774,-3.6823158,40.4215533
28079008,11,1,2020,28,2.225806451612903,-3.6823158,40.4215533
28079008,12,1,2020,28,2.129032258064516,-3.6823158,40.4215533
28079008,01,10,2020,28,23.64516129032258,-3.6823158,40.4215533
28079008,02,10,2020,28,27.70967741935484,-3.6823158,40.4215533
28079008,03,10,2020,28,13.774193548387096,-3.6823158,40.4215533
28079008,04,10,2020,28,10.774193548387096,-3.6823158,40.4215533
28079008,05,10,2020,28,18.419354838709676,-3.6823158,40.4215533
28079008,06,10,2020,28,6.32258064516129,-3.6823158,40.4215533
28079008,07,10,2020,28,23.258064516129032,-3.6823158,40.4215533
28079008,08,10,2020,28,18.322580645161292,-3.6823158,40.4215533
28079008,09,10,2020,28,17.64516129032258,-3.6823158,40.4215533
28079008,10,10,2020,28,16.870967741935484,-3.6823158,40.4215533
28079008,11,10,2020,28,21.258064516129032,-3.6823158,40.4215533
28079008,12,10,2020,28,12.0,-3.6823158,40.4215533
28079008,01,12,2020,28,114.58064516129032,-3.6823158,40.4215533
28079008,02,12,2020,28,96.74193548387096,-3.6823158,40.4215533
28079008,03,12,2020,28,44.29032258064516,-3.6823158,40.4215533
28079008,04,12,2020,28,17.870967741935484,-3.6823158,40.4215533
28079008,05,12,2020,28,21.06451612903226,-3.6823158,40.4215533
28079008,06,12,2020,28,30.451612903225808,-3.6823158,40.4215533
